,5YR Real Yield,5.25YR Real Yield
8/1/1994,2.3807,2.4447
9/1/1994,2.4663,2.529
10/1/1994,2.3309,2.3975
11/1/1994,2.4324,2.4989
12/1/1994,2.4804,2.5438
1/1/1995,2.4734,2.5393
2/1/1995,2.5937,2.6548
3/1/1995,2.5021,2.5501
4/1/1995,1.9368,1.9953
5/1/1995,1.7184,1.771
6/1/1995,1.5826,1.6253
7/1/1995,1.8435,1.8892
8/1/1995,2.1696,2.2269
9/1/1995,1.5586,1.6233
10/1/1995,1.6236,1.6862
11/1/1995,1.5282,1.5913
12/1/1995,1.5049,1.5668
1/1/1996,1.7189,1.7865
2/1/1996,1.8616,1.9312
3/1/1996,2.0126,2.082
4/1/1996,1.8342,1.9051
5/1/1996,1.8103,1.8828
6/1/1996,1.7133,1.7834
7/1/1996,1.5466,1.6189
8/1/1996,1.7881,1.8567
9/1/1996,1.6117,1.6736
10/1/1996,1.6336,1.6913
11/1/1996,1.5796,1.6344
12/1/1996,1.383,1.4356
1/1/1997,1.4421,1.4951
2/1/1997,1.3571,1.4084
3/1/1997,1.2253,1.2752
4/1/1997,0.363,0.4111
5/1/1997,0.5354,0.5925
6/1/1997,0.4433,0.4983
7/1/1997,0.3191,0.3705
8/1/1997,0.2306,0.2773
9/1/1997,0.1263,0.1699
10/1/1997,-0.3063,-0.2691
11/1/1997,-0.1297,-0.0938
12/1/1997,-0.0304,0.0053
1/1/1998,0.0018,0.0393
2/1/1998,-0.0484,-0.0108
3/1/1998,-0.215,-0.1808
4/1/1998,0.0119,0.0468
5/1/1998,-0.1653,-0.1372
6/1/1998,-0.1603,-0.1344
7/1/1998,0.1788,0.209
8/1/1998,0.0742,0.099
9/1/1998,-0.4656,-0.445
10/1/1998,-0.8051,-0.789
11/1/1998,-0.8834,-0.8658
12/1/1998,-0.3305,-0.2974
1/1/1999,0.1421,0.1893
2/1/1999,0.2088,0.2611
3/1/1999,0.0089,0.0507
4/1/1999,0.6466,0.6837
5/1/1999,0.6324,0.6661
6/1/1999,0.9466,0.9882
7/1/1999,0.965,1.0071
8/1/1999,0.9452,0.9929
9/1/1999,1.0774,1.122
10/1/1999,1.1633,1.2072
11/1/1999,1.1379,1.182
12/1/1999,1.3788,1.4099
1/1/2000,1.141,1.1829
2/1/2000,1.2856,1.331
3/1/2000,1.4241,1.4671
4/1/2000,1.3568,1.4001
5/1/2000,1.4222,1.4652
6/1/2000,1.3479,1.3884
7/1/2000,1.2645,1.3031
8/1/2000,1.1828,1.2174
9/1/2000,1.7119,1.7488
10/1/2000,2.0526,2.0877
11/1/2000,2.1328,2.1653
12/1/2000,2.0595,2.0766
1/1/2001,1.4958,1.5241
2/1/2001,1.3022,1.3319
3/1/2001,1.1863,1.215
4/1/2001,1.4482,1.4819
5/1/2001,1.3452,1.3779
6/1/2001,1.2642,1.2944
7/1/2001,1.2867,1.3197
8/1/2001,1.2886,1.3232
9/1/2001,1.5082,1.544
10/1/2001,1.5937,1.6283
11/1/2001,1.5382,1.572
12/1/2001,1.4535,1.4871
1/1/2002,1.5177,1.5539
2/1/2002,1.6548,1.6928
3/1/2002,1.6389,1.6761
4/1/2002,1.5612,1.5971
5/1/2002,1.4538,1.4895
6/1/2002,1.3888,1.4231
7/1/2002,1.4186,1.4519
8/1/2002,1.39,1.4223
9/1/2002,1.2929,1.3228
10/1/2002,1.3715,1.3996
11/1/2002,1.17,1.1953
12/1/2002,1.2003,1.225
1/1/2003,1.2958,1.3174
2/1/2003,1.2765,1.2972
3/1/2003,1.0447,1.0631
4/1/2003,0.9004,0.9169
5/1/2003,0.8019,0.8165
6/1/2003,0.8452,0.8591
7/1/2003,1.0099,1.0349
8/1/2003,1.1396,1.1683
9/1/2003,1.1989,1.2351
10/1/2003,1.1612,1.1969
11/1/2003,1.1483,1.1837
12/1/2003,1.0253,1.0599
1/1/2004,1.0173,1.0511
2/1/2004,0.7142,0.746
3/1/2004,0.7729,0.8072
4/1/2004,1.0037,1.042
5/1/2004,1.0969,1.1351
6/1/2004,1.0784,1.1232
7/1/2004,1.0359,1.0818
8/1/2004,1.0749,1.117
9/1/2004,0.8465,0.885
10/1/2004,0.4708,0.509
11/1/2004,0.5603,0.5979
12/1/2004,0.7904,0.8263
1/1/2005,0.723,0.7582
2/1/2005,0.7335,0.7692
3/1/2005,0.7671,0.8042
4/1/2005,0.8002,0.8341
5/1/2005,0.828,0.8606
6/1/2005,0.8703,0.9024
7/1/2005,0.8258,0.8582
8/1/2005,0.9528,0.9891
9/1/2005,0.8315,0.867
10/1/2005,0.9072,0.9467
11/1/2005,0.8486,0.8878
12/1/2005,0.8595,0.899
1/1/2006,0.6689,0.7066
2/1/2006,0.8959,0.9351
3/1/2006,0.9793,1.0206
4/1/2006,0.9529,1.0009
5/1/2006,0.9914,1.0328
6/1/2006,1.1423,1.1792
7/1/2006,1.1731,1.2105
8/1/2006,0.8277,0.8623
9/1/2006,0.8909,0.9229
10/1/2006,1.3148,1.3476
11/1/2006,1.4967,1.5255
12/1/2006,1.1358,1.1641
1/1/2007,1.1714,1.2011
2/1/2007,1.3416,1.3681
3/1/2007,1.3432,1.3655
4/1/2007,1.2581,1.2819
5/1/2007,1.1403,1.1646
6/1/2007,1.1871,1.2146
7/1/2007,1.2142,1.2404
8/1/2007,0.9074,0.9276
9/1/2007,0.9471,0.9704
10/1/2007,0.8902,0.9134
11/1/2007,0.641,0.6615
12/1/2007,0.6455,0.6665
1/1/2008,0.6988,0.7177
2/1/2008,0.6629,0.6814
3/1/2008,0.529,0.5418
4/1/2008,0.7161,0.7331
5/1/2008,0.5755,0.5987
6/1/2008,0.3719,0.3972
7/1/2008,0.0273,0.0493
8/1/2008,0.1671,0.1856
9/1/2008,0.218,0.2348
10/1/2008,0.1736,0.1912
11/1/2008,0.2318,0.2548
12/1/2008,0.3591,0.381
1/1/2009,0.4068,0.431
2/1/2009,0.3225,0.3474
3/1/2009,0.3476,0.3722
4/1/2009,0.4733,0.503
5/1/2009,0.734,0.7646
6/1/2009,0.72,0.7526
7/1/2009,0.7699,0.7991
8/1/2009,0.874,0.9047
9/1/2009,0.8506,0.8795
10/1/2009,1.1679,1.1972
11/1/2009,1.2344,1.264
12/1/2009,1.3291,1.3578
1/1/2010,1.252,1.2825
2/1/2010,1.1513,1.1817
3/1/2010,1.2621,1.293
4/1/2010,1.2124,1.2434
5/1/2010,1.5829,1.6121
6/1/2010,1.9121,1.9394
7/1/2010,2.2176,2.2423
