Date,SPY,TLT,FrankZ
10/20/2009,-0.005282881,0.005405463,0.00323102
10/21/2009,-0.008973283,-0.005996268,-0.002100806
10/22/2009,0.010163597,-0.004889152,-0.003460936
10/23/2009,-0.011433131,-0.007525596,-0.002619485
10/26/2009,-0.010825676,-0.01295455,-0.005394707
10/27/2009,-0.004583254,0.013657553,0.007287102
10/28/2009,-0.018887356,0.004736704,0.004257088
10/29/2009,0.021453811,-0.010895311,-0.007593037
10/30/2009,-0.028973382,0.014510555,0.010152616
11/2/2009,0.007338621,-0.004419957,-0.002943841
11/3/2009,0.003163903,-0.009994309,-0.005313545
11/4/2009,0.002579864,-0.009139459,-0.004827716
11/5/2009,0.018394782,0,-0.001839478
11/6/2009,0.002620589,0.00096538,0.000220631
11/9/2009,0.02277598,0.001179005,-0.001688095
11/10/2009,0.000182488,-0.001819361,-0.00092793
11/11/2009,0.005110056,0.004180945,0.001579467
11/12/2009,-0.010168058,-0.001815436,0.000109088
11/13/2009,0.005411307,0.004599246,0.001758492
11/16/2009,0.014504753,0.011713058,0.004406054
11/17/2009,0.001168899,0.005367119,0.002566669
11/18/2009,-0.000628578,-0.005862512,-0.002868398
11/19/2009,-0.01303129,0.001790872,0.002198565
11/20/2009,-0.003551152,-0.00021037,0.00024993
11/23/2009,0.012702131,-0.001261743,-0.001901084
11/24/2009,0.001533791,0.006315878,0.00300456
11/25/2009,0.003514064,0.004601685,0.001949436
11/27/2009,-0.016250882,0.003749074,0.003499625
11/30/2009,0.003376848,0.002386007,0.000855319
12/1/2009,0.012370388,-0.01113966,-0.006806869
12/2/2009,-0.000448887,0.000839498,0.000464638
12/3/2009,-0.007820611,-0.010385051,-0.004410464
12/4/2009,0.005707701,-0.010599832,-0.005870686
12/7/2009,-0.001531605,0.001286331,0.000796326
12/8/2009,-0.011096796,0.001497214,0.001858286
12/9/2009,0.003740552,-0.004593975,-0.002671042
12/10/2009,0.005635237,-0.0114844,-0.006305724
12/11/2009,0.004248096,-0.000108373,-0.000478996
12/14/2009,0.006839608,0.001194364,-8.68E-05
12/15/2009,-0.00464807,-0.004446883,-0.001758634
12/16/2009,0.001526928,-0.001198498,-0.000751942
12/17/2009,-0.012016172,0.016470562,0.009436898
12/18/2009,0.005657862,-0.004292324,-0.002711948
12/21/2009,0.010162214,-0.017782604,-0.009907524
12/22/2009,0.003592956,-0.005594975,-0.003156783
12/23/2009,0.001969058,0.00022048,-8.67E-05
12/24/2009,0.004734346,-0.010369949,-0.005658409
12/28/2009,0.002133866,-0.002785961,-0.001606367
12/29/2009,-0.001419756,0.006595716,0.003439834
12/30/2009,-0.000355282,0.006575048,0.003323052
12/31/2009,-0.009598101,-0.004760993,-0.001420687
1/4/2010,0.016959944,-0.000889664,0
1/5/2010,0.002646747,0.006458153,0
1/6/2010,0.000704154,-0.013385913,0
1/7/2010,0.00422131,0.001682111,0
1/8/2010,0.003327514,-0.000448085,0
1/11/2010,0.00139692,-0.005488024,0
1/12/2010,-0.009326274,0.017116814,0
1/13/2010,0.008446435,-0.011625247,0
1/14/2010,0.002704483,0.014002905,0
1/15/2010,-0.01122461,0.006185932,0
1/19/2010,0.012495714,-0.002854337,0
1/20/2010,-0.010168456,0.010130104,0
1/21/2010,-0.019229262,0.004577844,0
1/22/2010,-0.022291829,-0.001735394,0
1/25/2010,0.005127727,-0.004565944,0
1/26/2010,-0.004190323,0.000327999,0
1/27/2010,0.004757003,-0.000545943,0
1/28/2010,-0.011472525,-0.000546595,0
1/29/2010,-0.010868512,0.008742708,0
2/1/2010,0.015550924,-0.009077188,0
2/2/2010,0.012103376,0.002851832,0
2/3/2010,-0.004982661,-0.011595697,0
2/4/2010,-0.030865812,0.015827526,0
2/5/2010,0.002066919,0.002178603,0
2/8/2010,-0.007219013,0.001304951,0
2/9/2010,0.012559532,-0.009989319,0
2/10/2010,-0.00195877,-0.009541881,0
2/11/2010,0.0104673,-0.005425635,0
2/12/2010,-0.000832913,0.004119478,0
2/16/2010,0.015735021,0.0018844,0
2/17/2010,0.004738364,-0.011398366,0
2/18/2010,0.005895465,-0.00402989,0
2/19/2010,0.002073447,0.005395248,0
2/22/2010,0.000180266,-0.004136641,0
2/23/2010,-0.012144859,0.015603942,0
2/24/2010,0.009197669,0.002431814,0
2/25/2010,-0.00135348,0.005623933,0
2/26/2010,0.000632246,0.005152548,0
3/1/2010,0.010384744,-0.000437082,0
3/2/2010,0.002770562,-0.001313102,0
3/3/2010,0.000891771,-0.00252206,0
3/4/2010,0.003027229,0.005275423,0
3/5/2010,0.014293899,-0.013119447,0
3/8/2010,0.000174589,-0.005206652,0
3/9/2010,0.001662682,0.00022286,0
3/10/2010,0.004455577,-0.002560176,0
3/11/2010,0.00417497,0.003683301,0
3/12/2010,8.65529E-05,0.006227376,0
3/15/2010,0.000259824,-0.001326865,0
3/16/2010,0.00796632,0.007968645,0
3/17/2010,0.005927207,0.00428237,0
3/18/2010,-0.000512196,-0.003280251,0
3/19/2010,-0.005062017,0.000987801,0
3/22/2010,0.005346137,0.001095311,0
3/23/2010,0.00703297,-0.004706529,0
3/24/2010,-0.004854448,-0.018255452,0
3/25/2010,-0.001626072,-0.00638625,0
3/26/2010,-0.000600118,0.002818569,0
3/29/2010,0.00634772,-0.003822553,0
3/30/2010,0.000682176,0.00316037,0
3/31/2010,-0.003407569,0.006862456,0
4/1/2010,0.006837538,-0.00244462,0
4/5/2010,0.008149314,-0.016638694,0
4/6/2010,0.002357654,0.00160122,0
4/7/2010,-0.005711923,0.012783105,0
4/8/2010,0.003463698,0.000450849,0
4/9/2010,0.006567476,0.002366774,0
4/12/2010,0.001589126,0.005281085,0
4/13/2010,0.000751668,0.003242056,0
4/14/2010,0.011349579,-0.007019559,0
4/15/2010,0.000824947,0.00112198,0
4/16/2010,-0.015912348,0.007285946,0
4/19/2010,0.003770051,-0.002448171,0
4/20/2010,0.008931168,0.003569759,0
4/21/2010,-0.001820069,0.008225533,0
4/22/2010,0.002983494,-0.002976716,0
4/23/2010,0.006527929,-0.003538005,0
4/26/2010,-0.003776482,0.001109066,0
4/27/2010,-0.023650415,0.014079061,0
4/28/2010,0.007596189,-0.008527323,0
4/29/2010,0.012397354,0.004189772,0
4/30/2010,-0.016961983,0.011528388,0
5/3/2010,0.012961866,-0.001306817,0
5/4/2010,-0.023514953,0.017994762,0
5/5/2010,-0.00595608,0.005892829,0
5/6/2010,-0.03321358,0.03088694,0
5/7/2010,-0.014875035,-0.012501286,0
5/10/2010,0.044040924,-0.020715599,0
5/11/2010,-0.002840891,-0.00256374,0
5/12/2010,0.013985884,-0.007605275,0
5/13/2010,-0.012430708,0.006584079,0
5/14/2010,-0.018104739,0.017370556,0
5/17/2010,0.000526424,-0.003689198,0
5/18/2010,-0.013602549,0.015338921,0
5/19/2010,-0.005693635,0.003335181,0
5/20/2010,-0.037759543,0.021080019,0
5/21/2010,0.014599134,0.001016799,0
5/24/2010,-0.012831021,-0.003454026,0
5/25/2010,0.00102149,0.004893109,0
5/26/2010,-0.006028857,-0.002841072,0
5/27/2010,0.033498221,-0.022688109,0
5/28/2010,-0.012549489,0.00458107,0
6/1/2010,-0.016823844,0.007028997,0
6/2/2010,0.026039287,-0.009499575,0
6/3/2010,0.003444024,-0.007296724,0
6/4/2010,-0.035136324,0.02688209,0
6/7/2010,-0.012451207,0.007669679,0
6/8/2010,0.010711905,-0.004972756,0
6/9/2010,-0.005345815,-0.001121862,0
6/10/2010,0.029231407,-0.017867958,0
6/11/2010,0.004855499,0.012683218,0
6/14/2010,-0.001549693,-0.005133065,0
6/15/2010,0.02273719,-0.004127642,0
6/16/2010,-0.000356898,0.00569859,0
6/17/2010,0.00160762,0.008139865,0
6/18/2010,0.001084151,-0.001635159,0
6/21/2010,-0.002863921,-0.002866247,0
6/22/2010,-0.016515853,0.011908122,0
6/23/2010,-0.003102574,0.006797696,0
6/24/2010,-0.016570692,-0.005945567,0
6/25/2010,0.004189294,0.004054825,0
6/28/2010,-0.003152195,0.009389087,0
6/29/2010,-0.030875295,0.010901951,0
6/30/2010,-0.009499877,0.006728351,0
7/1/2010,-0.004456457,0.00157766,0.00078883
7/2/2010,-0.005449585,-0.007972921,-0.00398646
7/6/2010,0.006555821,0.008234648,0.004117324
7/7/2010,0.031495975,-0.011709587,-0.005854793
7/8/2010,0.00989556,-0.00637306,-0.00318653
7/9/2010,0.007464871,-0.005711601,-0.002855801
7/12/2010,0.000649101,-0.000403552,-0.000201776
7/13/2010,0.015088332,-0.008569694,-0.004284847
7/14/2010,-9.14722E-05,0.010067345,0.005033673
7/15/2010,0.000273635,0.009968599,0.0049843
7/16/2010,-0.027534465,0.004884796,0.002442398
7/19/2010,0.005906705,-0.006150875,-0.003075437
7/20/2010,0.011091429,0.001497278,0.000748639
7/21/2010,-0.012997873,0.016944202,0.008472101
7/22/2010,0.02232183,-0.011565481,-0.00578274
7/23/2010,0.008678658,-0.010610067,-0.005305034
7/26/2010,0.010415933,-0.001703787,-0.000851893
7/27/2010,-8.96537E-05,-0.009637114,-0.004818557
7/28/2010,-0.006454605,0.003243495,0.001621748
7/29/2010,-0.004872039,-0.00030315,-0.000151575
7/30/2010,-0.000181544,0.015565163,0.007782581
8/2/2010,0.022580971,-0.014038305,-0.007019152
8/3/2010,-0.004788648,0.005771709,0.002885855
8/4/2010,0.006683187,-0.00765152,-0.00382576
8/5/2010,-0.001062462,0.004666966,0.002333483
8/6/2010,-0.004076,0.010907086,0.005453543
8/9/2010,0.005338857,-0.003695562,-0.001847781
8/10/2010,-0.005398845,0.002105217,0.001052609
8/11/2010,-0.027407583,0.013407692,0.006703846
8/12/2010,-0.006129791,-0.002468629,-0.001234315
8/13/2010,-0.002945382,0.012471393,0.006235696
8/16/2010,-0.000461965,0.025027457,0.012513728
